ano;tipo_atividade;titulo;data_inicio;data_fim;coordenador;area_tematica;situacao;tipo_projeto;bolsas_solicitadas;bolsas_concedidas;publico_interno;bolsas_edital;numero_edital;edital;municipio
2015;EVENTO;Oficina para análise do instrumento de avaliação de competências e habilidades de discentes da graduação em Enfermagem da atividade estágio Supervisionado I;2015-03-05;2015-03-05;MARIA HELENA SOARES DA NOBREGA MAZZO;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;9;;;;
2015;EVENTO;OFICINA PEDAGÓGICA COM PRECEPTORES E DOCENTES DO CURSO DE GRADUAÇÃO EM ENFERMAGEM - 2015;2015-12-17;2015-12-18;PAULA FERNANDA BRANDAO BATISTA DOS SANTOS;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;130;;;;
2015;EVENTO;Oficina Provas oficiais em Língua alemã: Conhecer o OnDaF, Goethe-Zertifikat B1 e Test-DaF;2015-09-11;2015-09-11;WIEBKE ROBEN DE ALENCAR XAVIER;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;20;;;;
2015;EVENTO;OFICINAs DE CAPACITAÇÃO NA INOVAÇÃO E EMPREENDEDORISMO DE RECURSOS DE MATÉRIAS PRIMAS PARA ALIMENTOS E ENERGIA;2015-11-24;2015-11-28;PAGANDAI VAITHIANATHAN PANNIR SELVAM;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;1;0;10;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;Oficinas do Plantão Pedagógico do IMD - Gestão do Tempo e Técnicas de Estudos;2015-04-08;2015-04-24;ANA CAROLINA MORAIS SALES;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;60;;;;
2015;EVENTO;OFICINAS PROCESSO LICITATÓRIO NA PRÁTICA;2015-08-26;2015-08-26;IZABEL DE MEDEIROS COELHO;TRABALHO;CONCLUÍDA;EXTENSÃO;0;0;20;;;;
2015;EVENTO;O fim da curta era de ouro da economia brasileira;2015-09-09;2015-09-09;FABRICIO PITOMBO LEITE;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;50;;;;
2015;EVENTO;O IMD na CIENTEC;2015-10-20;2015-10-23;DANIEL SABINO AMORIM DE ARAUJO;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;580;;;;
2015;EVENTO;"Olhares do cuidar no mês da criança
Encontros temáticos da Atenção Integral à Saúde da Criança
";2015-10-02;2015-10-30;JONAS SAMI ALBUQUERQUE DE OLIVEIRA;SAÚDE;CONCLUÍDA;EXTENSÃO;1;0;80;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;Olimpíada Brasileira de Robótica - OBR RN - 2015;2015-08-29;2015-09-06;AQUILES MEDEIROS FILGUEIRA BURLAMAQUI;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;1000;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;O Mercado de Trabalho na contemporaneidade.;2015-05-29;2015-05-29;WILLIAM EUFRASIO NUNES PEREIRA;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;40;;;;
